Wall time,Step,Value
1620362193,59520,0.85686028
1620362237,59776,0.856863201
1620362243,59808,0.856967986
1620362303,60160,0.857212603
1620362348,60416,0.857411027
1620362381,60608,0.85739404
1620362386,60640,0.857432902
1620362398,60704,0.857411504
1620362409,60768,0.857453823
1620362436,60928,0.857461452
1620362575,61728,0.857768178
1620362581,61760,0.857796669
1620362636,62080,0.85766083
1620362647,62144,0.857712567
1620362669,62272,0.857757509
1620362675,62304,0.857749343
1620362752,62752,0.857986987
1620362786,62944,0.858194411
1620362813,63104,0.858335912
1620362824,63168,0.858406544
1620362835,63232,0.858415961
1620362846,63296,0.858463109
1620362918,63712,0.858663082
1620362940,63840,0.85876435
1620362951,63904,0.858774006
1620362968,64000,0.858770609
1620363018,64288,0.858886778
1620363024,64320,0.858908176
1620363079,64640,0.858902037
1620363090,64704,0.858849525
1620363157,65088,0.85905087
1620363162,65120,0.859110236
1620363168,65152,0.859169364
1620363190,65280,0.859200418
1620363212,65408,0.859228253
1620363246,65600,0.859327734
1620363340,66144,0.859395802
1620363357,66240,0.859441817
1620363373,66336,0.859426856
1620363379,66368,0.859383404
1620363423,66624,0.859463453
1620363457,66816,0.859450579
1620363490,67008,0.85946095
1620363518,67168,0.859521151
1620363623,67776,0.859621286
1620363645,67904,0.859632015
1620363657,67968,0.859633029
1620363684,68128,0.859725535
1620363712,68288,0.859719694
1620363784,68704,0.859957039
1620363823,68928,0.860010922
1620363907,69408,0.860056221
1620363968,69760,0.860150278
1620363974,69792,0.860186875
1620363990,69888,0.860184014
1620364024,70080,0.860191584
1620364068,70336,0.860311866
1620364074,70368,0.86030829
1620364079,70400,0.860306561
1620364085,70432,0.860288322
1620364135,70720,0.860372245
1620364955,71456,0.870674729
1620364960,71488,0.871105909
1620364966,71520,0.86836046
1620365004,71744,0.867471814
1620365065,72096,0.868575096
1620365076,72160,0.867667437
1620365143,72544,0.866512358
1620365148,72576,0.866195023
1620365165,72672,0.866050661
1620365176,72736,0.866435647
1620365181,72768,0.866470158
1620365192,72832,0.866779268
1620365298,73440,0.86577487
1620365342,73696,0.866300881
1620365358,73792,0.866583347
1620365408,74080,0.866246164
1620365414,74112,0.866235137
1620365459,74368,0.866633475
1620365464,74400,0.866551936
1620365497,74592,0.866952538
1620365514,74688,0.866781473
1620365547,74880,0.866861343
1620365558,74944,0.866684854
1620365569,75008,0.866636276
1620365664,75552,0.866590679
1620365675,75616,0.866536021
1620365681,75648,0.866610408
1620365686,75680,0.866600633
1620365747,76032,0.866527498
1620365803,76352,0.866513968
1620365847,76608,0.866539955
1620365942,77152,0.866118431
1620365981,77376,0.865935564
1620365987,77408,0.865896881
1620366003,77504,0.866054535
1620366092,78016,0.865774214
1620366115,78144,0.865782201
1620366143,78304,0.86575681
1620366154,78368,0.865830243
1620366165,78432,0.865876615
1620366176,78496,0.866045833
1620366187,78560,0.866072655
1620366209,78688,0.866083324
1620366215,78720,0.866092145
1620366276,79072,0.866081595
1620366292,79168,0.866044104
1620366337,79424,0.866200626
1620366354,79520,0.866387844
1620366359,79552,0.86640954
1620366403,79808,0.86653018
1620366486,80288,0.866403759
1620366497,80352,0.866405845
1620366508,80416,0.86636728
1620366520,80480,0.86633271
1620366581,80832,0.866421998
1620366603,80960,0.866486251
1620366675,81376,0.866487265
1620366802,82112,0.866765618
1620366885,82592,0.86698854
1620366891,82624,0.8669945
1620366924,82816,0.867180109
1620366930,82848,0.867174804
1620366941,82912,0.867140293
1620366957,83008,0.867225111
1620366985,83168,0.867287099
1620367007,83296,0.867291212
1620367018,83360,0.867334247
1620367107,83872,0.867431641
1620367168,84224,0.867487252
1620367207,84448,0.867616355
1620367213,84480,0.867627025
1620367252,84704,0.86775136
1620367268,84800,0.867818415
1620367402,85568,0.868062556
1620367419,85664,0.86811924
1620367457,85888,0.868217587
